Model,TBS2104X
Firmware Version,v1.31.14

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,0.02,,,
Sample Interval,1.6e-05,,,
Filter Frequency,2e+08,,,
Record Length,20000,,,
Gating,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1,1,1
Vertical Units,V,V,V,A
Vertical Offset,0,0,0,0
Vertical Scale,1,1,1,0.05
Label,,,,
TIME,CH1,CH2,CH3,CH4
-1.6002e-01,0.39,0.36,0.11,0.0055
-1.6000e-01,0.39,0.36,0.07,0.0055
-1.5998e-01,0.39,0.36,0.11,0.0055
-1.5997e-01,0.39,0.36,0.11,0.0055
-1.5995e-01,0.39,0.36,0.11,0.0055
-1.5994e-01,0.39,0.36,0.11,0.0055
-1.5992e-01,0.39,0.4,0.07,0.0055
-1.5990e-01,0.39,0.36,0.11,0.0055
-1.5989e-01,0.39,0.36,0.11,0.0055
-1.5987e-01,0.39,0.36,0.07,0.0035
-1.5986e-01,0.39,0.36,0.11,0.0055
-1.5984e-01,0.39,0.36,0.07,0.0055
-1.5982e-01,0.39,0.36,0.07,0.0055
-1.5981e-01,0.39,0.32,0.11,0.0035
-1.5979e-01,0.35,0.36,0.07,0.0055
-1.5978e-01,0.39,0.36,0.11,0.0055
-1.5976e-01,0.35,0.36,0.11,0.0055
-1.5974e-01,0.39,0.36,0.07,0.0055
-1.5973e-01,0.39,0.36,0.11,0.0055
-1.5971e-01,0.43,0.36,0.11,0.0055
-1.5970e-01,0.39,0.36,0.07,0.0055
-1.5968e-01,0.39,0.36,0.07,0.0035
-1.5966e-01,0.35,0.36,0.07,0.0055
-1.5965e-01,0.43,0.36,0.11,0.0055
-1.5963e-01,0.35,0.36,0.07,0.0035
-1.5962e-01,0.39,0.36,0.11,0.0035
-1.5960e-01,0.39,0.36,0.07,0.0055
-1.5958e-01,0.39,0.36,0.11,0.0055
-1.5957e-01,0.39,0.36,0.11,0.0055
-1.5955e-01,0.39,0.4,0.11,0.0035
-1.5954e-01,0.39,0.36,0.11,0.0055
-1.5952e-01,0.39,0.36,0.11,0.0055
-1.5950e-01,0.39,0.36,0.11,0.0055
-1.5949e-01,0.39,0.36,0.07,0.0035
-1.5947e-01,0.39,0.36,0.11,0.0055
-1.5946e-01,0.39,0.36,0.11,0.0035
-1.5944e-01,0.35,0.36,-0.05,0.0055
-1.5942e-01,0.39,0.36,-0.05,-0.0065
-1.5941e-01,0.39,0.36,-0.05,-0.0025
-1.5939e-01,0.39,0.36,-0.05,0.0015
-1.5938e-01,0.39,0.36,-0.05,0.0015
-1.5936e-01,0.39,0.36,-0.05,-0.000499995
-1.5934e-01,0.39,0.36,-0.05,-0.000499995
-1.5933e-01,0.39,0.36,-0.05,-0.000499995
-1.5931e-01,0.39,0.4,-0.01,-0.000499995
-1.5930e-01,0.39,0.36,-0.05,-0.000499995
-1.5928e-01,0.39,0.36,-0.05,-0.000499995
-1.5926e-01,0.39,0.4,-0.05,-0.000499995
-1.5925e-01,0.39,0.36,-0.01,-0.000499995
-1.5923e-01,0.39,0.36,-0.05,-0.000499995
-1.5922e-01,0.39,0.36,-0.09,-0.000499995
-1.5920e-01,0.39,0.36,-0.05,-0.000499995
-1.5918e-01,0.39,0.36,-0.05,-0.000499995
-1.5917e-01,0.39,0.36,-0.05,-0.000499995
-1.5915e-01,0.35,0.36,-0.01,-0.000499995
-1.5914e-01,0.39,0.36,-0.01,-0.000499995
-1.5912e-01,0.39,0.36,-0.05,-0.000499995
-1.5910e-01,0.39,0.36,-0.09,-0.000499995
-1.5909e-01,0.39,0.4,-0.05,-0.000499995
-1.5907e-01,0.39,0.36,-0.05,-0.000499995
-1.5906e-01,0.35,0.36,-0.05,-0.000499995
-1.5904e-01,0.39,0.36,-0.01,-0.000499995
-1.5902e-01,0.39,0.36,-0.01,-0.000499995
-1.5901e-01,0.39,0.36,-0.05,-0.000499995
-1.5899e-01,0.39,0.36,-0.05,-0.000499995
-1.5898e-01,0.35,0.36,-0.05,-0.000499995
-1.5896e-01,0.39,0.36,-0.05,-0.000499995
-1.5894e-01,0.39,0.36,-0.05,-0.000499995
-1.5893e-01,0.43,0.32,-0.05,-0.000499995
-1.5891e-01,0.39,0.4,-0.05,-0.000499995
-1.5890e-01,0.39,0.36,-0.05,-0.000499995
-1.5888e-01,0.39,0.36,-0.05,-0.000499995
-1.5886e-01,0.39,0.36,-0.05,-0.000499995
-1.5885e-01,0.39,0.32,-0.05,-0.000499995
-1.5883e-01,0.35,0.36,-0.05,0.0015
-1.5882e-01,0.39,0.36,-0.05,-0.000499995
-1.5880e-01,0.39,0.32,-0.01,-0.0025
-1.5878e-01,0.35,0.36,-0.05,-0.000499995
-1.5877e-01,0.39,0.32,-0.05,-0.000499995
-1.5875e-01,0.39,0.36,-0.05,-0.000499995
-1.5874e-01,0.39,0.36,-0.05,-0.0025
-1.5872e-01,0.39,0.36,-0.05,-0.0025
-1.5870e-01,0.39,0.36,-0.09,-0.0025
-1.5869e-01,0.39,0.36,-0.05,-0.000499995
-1.5867e-01,0.39,0.32,-0.05,-0.000499995
-1.5866e-01,0.39,0.36,-0.05,-0.0025
-1.5864e-01,0.39,0.36,-0.05,-0.000499995
-1.5862e-01,0.39,0.36,-0.05,-0.000499995
-1.5861e-01,0.39,0.36,-0.05,-0.000499995
